1,1313.38000488281,32200.060546875,1737.88000488281,4524.31982421875,1,260.34,Medium Risk
2,5988.4599609375,47743.51953125,1799.35998535156,856.700012207031,1,47.61,Low Risk
3,8277.8798828125,47981.30859375,6112.9599609375,3242.36010742188,1,53.04,Low Risk
4,7487.2099609375,4482.7998046875,2069.40991210938,4329.169921875,1,209.2,Medium Risk
5,6993.5498046875,1092.32995605469,2765.30004882813,25.7199993133545,1,0.93,Low Risk
6,9295.6396484375,48039.23828125,8029.18017578125,1331.69995117188,1,16.59,Low Risk
7,4005.71997070313,27230.509765625,2996.82006835938,1441.65002441406,1,48.11,Low Risk
8,1458.44995117188,35319.62890625,4470.77978515625,3450.2099609375,1,77.17,Medium Risk
9,1109.30004882813,45717.26171875,4349.56982421875,3227.17993164063,-1,74.2,High Risk
10,9554.6201171875,22224.580078125,4961.43994140625,2765.3798828125,1,55.74,Low Risk
11,5930.75,22592.009765625,4782.39013671875,4564.25,1,95.44,Medium Risk
12,8126.85009765625,9182.099609375,5697.31005859375,4935.06982421875,1,86.62,Medium Risk
13,5402.0400390625,45385.58984375,5776.68017578125,339.589996337891,1,5.88,Low Risk
14,4045.09008789063,32735.990234375,3018.4599609375,4357.9501953125,1,144.38,Medium Risk
15,2082.669921875,9833.1904296875,2345.92993164063,1066.60998535156,1,45.47,Low Risk
16,8578.4404296875,28429.810546875,2673.10009765625,770.739990234375,1,28.83,Low Risk
17,728.799987792969,17080.029296875,2838.82006835938,3905.10009765625,1,137.56,Medium Risk
18,9012.3095703125,8211.919921875,8388.990234375,3165.2099609375,1,37.73,Low Risk
19,2129.6298828125,9911.599609375,9371.26953125,299.029998779297,1,3.19,Low Risk
20,194.360000610352,28403.599609375,7650.68017578125,1076.4599609375,1,14.07,Low Risk
21,1128.57995605469,28654.880859375,1374.25,3559.97998046875,1,259.05,Medium Risk
22,8846.740234375,39707.1015625,6394.77978515625,53.5,-1,0.84,High Risk
23,829.700012207031,13151.23046875,8026.740234375,1424.93994140625,1,17.75,Low Risk
